Station
Текстильщики
Печатники
Нагатинский Затон
Терехово
Мнёвники
Народное Ополчение
Марьина Роща
Рижская
Сокольники
Электрозаводская
Лефортово
Авиамоторная
Нижегородская
Щукинская
Стрешнево
Балтиец
Гражданская
Дмитровская
Площадь трёх вокзалов
Курская
Москва-Товарная
Калитники
Новохохловская
Люблино
Депо
Преображенская площадь
Красносельская
Комсомольская
Красные Ворота
Чистые пруды
Лубянка
Охотный Ряд
Библиотека имени Ленина
Кропоткинская
Парк культуры
Фрунзенская
Спортивная
Воробьёвы горы
Университет
Сокол
Аэропорт
Динамо
Белорусская
Маяковская
Тверская
Театральная
Новокузнецкая
Павелецкая
Автозаводская
Технопарк
Коломенская
Партизанская
Семёновская
Бауманская
Площадь Революции
Арбатская
Смоленская
Киевская
Парк Победы
Славянский бульвар
Багратионовская
Фили
Кутузовская
Студенческая
Смоленская
Арбатская
Александровский сад
Международная
Выставочная
Октябрьская
Добрынинская
Таганская
Проспект Мира
Новослободская
Краснопресненская
Алексеевская
Сухаревская
Тургеневская
Китай-город
Третьяковская
Шаболовская
Ленинский проспект
Академическая
Профсоюзная
Октябрьское Поле
Полежаевская
Беговая
Улица 1905 года
Баррикадная
Пушкинская
Кузнецкий Мост
Пролетарская
Волгоградский проспект
Шоссе Энтузиастов
Площадь Ильича
Марксистская
Деловой центр
Минская
Ломоносовский проспект
Раменки
Савёловская
Менделеевская
Цветной бульвар
Чеховская
Боровицкая
Полянка
Серпуховская
Тульская
Нагатинская
Нагорная
Бутырская
Достоевская
Трубная
Сретенский бульвар
Чкаловская
Римская
Крестьянская Застава
Дубровка
Кожуховская
Шелепиха
Хорошёвская
ЦСКА
Петровский парк
Панфиловская
Зорге
Хорошёво
Лужники
Площадь Гагарина
Крымская
Верхние Котлы
ЗИЛ
Угрешская
Андроновка
Соколиная Гора
Измайлово
Стахановская
Юго-Восточная
Тестовская
Поклонная
Тестовская
Серп и Молот
Ленинградский вокзал
Казанский вокзал
Сортировочная
